Transfers of major conventional arms from Australia   to All countries . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 28 Aug 2025 4:07:21 AM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
UAE,Australia,2019,,,,R-400S,infantry fighting vehicle turret,100,?,2019; 2023; 2024,New,AUD450 m deal; probably incl for Nimr infantry fighting vehicles produced in United Arab Emirates,0.8,0,80
Ukraine,Australia,2024,,100,?,RBS-70 Mk-3 Bolide,portable SAM,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion od Ukraine,0.04,4,4
Ukraine,Australia,2024,?,100,?,JDAM-ER,guided glide bomb,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,4,4
Ukraine,Australia,2022,,28,,Waran,armoured personnel carrier,28,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-113AS4 version,0.14,3.92,3.92
Ukraine,Australia,2022,,120,,Bushmaster,armoured personnel carrier,120,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 ambulance version,0.14,16.8,16.8
Ukraine,Australia,2024,,49,,M-1A1 Abrams,tank,0,,,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,78.4,0
Ukraine,Australia,2022,,6,,UFH/M-777 155mm,towed gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2.4,2.4
United Kingdom,Australia,1955,?,1,,Tide,replenishment ship,1,,1955,New,Australian designation Supply; built for Australia but after completion in 1955 on loan to UK until 1962,125,125,125
United Kingdom,Australia,1977,,77,?,Ikara,anti-submarine missile,77,?,1977; 1978; 1979; 1980; 1981; 1982,New,Ikara-2 version; produced in UK,0.6,46.2,46.2
United Kingdom,Australia,1970,?,600,?,Ikara,anti-submarine missile,600,?,1973; 1974; 1975; 1976; 1977,New,,0.6,360,360
United Kingdom,Australia,2008,,24,,Bushmaster,armoured personnel carrier,24,?,2008,New,AUD33 m deal; for use in Afghanistan,0.32,7.68,7.68
United Kingdom,Australia,1960,,400,,Malkara-1,anti-tank missile,400,?,1961; 1962,New,GBP1 m deal; for Hornet tank-destroyer,0.01,4,4
United States,Australia,2002,,1,,Incat,transport ship,1,,2002,New,$80 m 3-year; US designation TSV-X1 and Spearhead,30,30,30
United States,Australia,2001,,1,,Incat,transport ship,1,,2001,New,$20 m 2-year lease; US designation HSV-X1 and Joint Venture,30,30,30
United States,Australia,2001,,1,,WestPac Express,transport ship,1,,2001,Second hand,Second-hand; lease,12,12,12
United States,Australia,2003,,1,,Incat,transport ship,1,,2003,New,5-year lease; incl for use as MCM support ship; US designation HSV-2 and Swift,30,30,30
United States,Australia,2008,,1,,EPF,transport ship,1,,2012,New,$185 m deal (part 'JHSV' (Joint High Speed Vessel) programme); produced under licence in USA,30,30,30
United States,Australia,2011,,3,,KC-707,tanker/transport aircraft,3,,2011,Second hand,Second-hand; Boeing-707-338C version; owned and operated by US company and leased per hour to US and other armed forces,32,96,96
United States,Australia,1991,,7,,CH-47C Chinook,transport helicopter,7,?,1994; 1995,Second hand,Second-hand but modernized after delivery in USA to CH-47D,6,42,42
United States,Australia,1985,,7,,Boeing-707,transport aircraft,7,?,1986; 1987,Second hand,Second-hand; Boeing-707-338C version; modified in USA to E-8C J-STARS AEW&C aircraft,17.8,124.6,124.6
United States,Australia,2003,,7,,GA-8 Airvan,light transport aircraft,7,?,2004,New,For Auxiliary Civil Air Patrol,0.24,1.68,1.68
United States,Australia,2009,,15,?,EPF,transport ship,13,,2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2023; 2024,New,Previously 'JHSV' (Joint High Speed Vessel) programme; produced under licence in USA,30,450,390
Vanuatu,Australia,1985,,1,,ASI-315,patrol boat,1,,1987,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Vanuatuan designation Tukoro,6,6,6
Vanuatu,Australia,2014,,1,,Guardian,patrol boat,1,,2021,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Vanuatu designation Takuare,7,7,7
Yemen,Australia,2003,,10,,P-1022,patrol boat,10,,2005,New,AUD90 m ($55-70 m) deal,4.9,49,49
